subject,fold,ll,std
25,1, 3.024447e+00, 2.666153e-01
27,3, 2.670746e+00, 3.896070e-01
10,1, 2.182510e+00, 2.170220e-01
15,0, 2.706305e+00, 1.628206e-01
26,3, 3.502873e+00, 1.572309e-01
28,2, 2.932100e+00, 2.296433e-01
4,1, 2.019774e+00, 2.393392e-01
27,1, 3.300277e+00, 3.105769e-01
39,3, 2.793533e+00, 2.509727e-01
39,1, 3.228139e+00, 2.675701e-01
7,1, 2.666246e+00, 2.954284e-01
6,3, 3.292347e+00, 2.524439e-01
5,3, 2.778008e+00, 1.818816e-01
34,1, 2.529140e+00, 1.049652e-01
11,0, 3.245564e+00, 2.951522e-01
20,4, 2.923853e+00, 2.231243e-01
33,4, 2.805647e+00, 1.783189e-01
30,2, 3.441428e+00, 1.524860e-01
0,3, 2.591031e+00, 1.861997e-01
22,0, 3.152102e+00, 2.448194e-01
5,2, 2.608866e+00, 2.575913e-01
21,1, 2.804560e+00, 1.587430e-01
15,1, 2.946613e+00, 1.263375e-01
9,4, 3.244412e+00, 3.542204e-01
21,3, 2.396868e+00, 1.829311e-01
16,4, 3.362903e+00, 2.094313e-01
2,0, 2.670558e+00, 1.333178e-01
7,0, 3.317839e+00, 2.266141e-01
1,3, 3.259925e+00, 1.874171e-01
4,3, 2.951977e+00, 2.022639e-01
32,3, 3.037723e+00, 1.981802e-01
24,3, 3.260465e+00, 2.401794e-01
31,1, 2.669194e+00, 1.805634e-01
26,1, 3.401063e+00, 2.606169e-01
15,2, 3.047198e+00, 2.078012e-01
8,0, 3.076964e+00, 2.598049e-01
19,3, 2.853459e+00, 3.089954e-01
5,4, 2.721142e+00, 2.209310e-01
6,0, 3.010035e+00, 2.849441e-01
21,0, 3.161285e+00, 2.356623e-01
18,0, 2.705553e+00, 2.393832e-01
3,4, 2.729024e+00, 1.114899e-01
29,0, 3.077027e+00, 2.080810e-01
20,2, 2.368370e+00, 1.810159e-01
23,2, 3.224986e+00, 2.956661e-01
39,4, 2.898378e+00, 2.572980e-01
11,4, 3.225674e+00, 2.477496e-01
16,2, 3.459922e+00, 1.141789e-01
2,3, 2.857505e+00, 1.408318e-01
30,4, 2.452386e+00, 2.043450e-01
26,2, 3.254098e+00, 3.523628e-01
14,4, 2.953172e+00, 2.198321e-01
5,1, 3.252622e+00, 3.077437e-01
18,1, 2.733633e+00, 2.536746e-01
35,4, 2.470180e+00, 1.974489e-01
7,2, 3.205085e+00, 2.592205e-01
3,1, 2.690829e+00, 1.433722e-01
22,4, 2.725783e+00, 2.026517e-01
0,0, 3.050818e+00, 2.149019e-01
39,0, 2.594211e+00, 2.244392e-01
24,2, 2.612392e+00, 2.135887e-01
17,3, 3.244004e+00, 2.340603e-01
14,1, 3.119343e+00, 2.204494e-01
25,2, 3.068590e+00, 2.481936e-01
25,0, 2.819840e+00, 2.732862e-01
31,0, 2.960632e+00, 1.949323e-01
8,3, 3.433332e+00, 2.943201e-01
1,4, 2.663539e+00, 1.616722e-01
29,2, 3.000372e+00, 1.749435e-01
23,1, 3.030830e+00, 2.369237e-01
1,0, 3.347044e+00, 1.851997e-01
13,3, 3.081218e+00, 2.181743e-01
32,2, 3.019404e+00, 2.451774e-01
