86	2	1.03226	2.02151	92
3	3	1.5448	2.5233	91
68	3	1.54839	2.51613	90
84	4	1.80824	2.76523	89
31	4	1.88172	2.82796	88
62	4	1.90323	2.83871	87
92	1	0	0.989247	92
28	1	0.182796	1.16129	91
18	1	0.591398	1.55914	90
38	1	0.645161	1.60215	89
5	2	1.08065	2.02688	88
56	2	1.29032	2.22581	87
8	2	1.2957	2.22043	86
37	3	1.41577	2.32975	85
21	3	1.50538	2.4086	84
36	3	1.65054	2.54301	83
24	4	1.80287	2.68459	82
75	4	1.90233	2.7733	81
12	5	1.93674	2.79695	80
17	5	1.94104	2.7905	79
71	5	1.969	2.80771	78
4	5	1.98029	2.80824	77
29	5	1.98889	2.80609	76
27	5	2.01039	2.81685	75
22	5	2.0319	2.8276	74
39	5	2.06416	2.8491	73
30	6	2.0871	2.86129	72
40	6	2.11505	2.87849	71
14	6	2.13835	2.89104	70
81	6	2.16344	2.90538	69
78	7	2.23881	2.96999	68
25	2	1.14516	2.13441	92
52	2	1.24194	2.22043	91
81	2	1.33333	2.30108	90
79	2	1.35484	2.31183	89
33	3	1.45878	2.40502	88
68	3	1.48746	2.42294	87
7	3	1.66308	2.58781	86
38	3	1.68817	2.60215	85
55	3	1.72401	2.62724	84
70	4	1.84319	2.73566	83
36	4	1.85663	2.73835	82
19	5	2.00376	2.87473	81
84	5	2.03065	2.89086	80
51	5	2.1129	2.96237	79
37	5	2.12151	2.96022	78
63	6	2.1491	2.97706	77
40	6	2.17563	2.99283	76
35	1	0.731183	1.72043	92
85	2	0.935484	1.91398	91
29	2	1.07527	2.04301	90
63	2	1.1828	2.13978	89
68	3	1.48029	2.42652	88
7	3	1.73835	2.67384	87
34	4	1.77419	2.69892	86
86	4	1.85753	2.77151	85
79	4	1.85753	2.76075	84
8	4	1.87903	2.77151	83
56	4	1.89516	2.77688	82
30	4	1.9328	2.80376	81
89	5	2.02151	2.88172	80
38	5	2.07097	2.92043	79
11	5	2.09301	2.93172	78
70	5	2.11237	2.94032	77
35	1	0.741935	1.73118	92
49	2	1.10215	2.08065	91
90	2	1.12903	2.09677	90
10	2	1.26882	2.22581	89
71	2	1.3871	2.33333	88
34	3	1.48208	2.41756	87
86	3	1.51792	2.44265	86
70	3	1.52151	2.43548	85
92	3	1.58244	2.48566	84
22	3	1.66129	2.55376	83
44	4	1.81093	2.69265	82
78	5	1.96846	2.83943	81
36	5	1.97814	2.83835	80
23	5	1.98244	2.8319	79
79	5	1.99104	2.82975	78
69	5	2.09749	2.92545	77
4	6	2.1233	2.9405	76
84	6	2.16022	2.96667	75
14	6	2.16953	2.96523	74
53	1	0.247312	1.23656	92
8	1	0.591398	1.56989	91
85	2	0.935484	1.90323	90
25	2	1.17204	2.12903	89
10	2	1.18817	2.13441	88
66	2	1.18817	2.12366	87
15	2	1.18817	2.1129	86
30	2	1.25806	2.17204	85
68	3	1.39247	2.2957	84
79	3	1.42294	2.31541	83
70	3	1.42294	2.30466	82
32	3	1.43907	2.31004	81
64	3	1.46416	2.32437	80
78	3	1.47491	2.32437	79
86	3	1.47491	2.31362	78
75	4	1.70699	2.53495	77
63	4	1.80376	2.62097	76
73	4	1.83602	2.64247	75
58	6	2.09194	2.88763	74
84	6	2.11201	2.89695	73
40	6	2.12276	2.89695	72
20	6	2.16039	2.92384	71
26	7	2.18881	2.9415	70
67	7	2.20341	2.94534	69
86	1	0.204301	1.19355	92
38	1	0.612903	1.5914	91
78	1	0.612903	1.58065	90
36	2	1.0914	2.04839	89
12	2	1.18817	2.13441	88
47	2	1.22581	2.16129	87
76	2	1.3172	2.24194	86
68	2	1.34409	2.25806	85
6	3	1.39068	2.29391	84
82	4	1.76523	2.65771	83
71	4	1.83871	2.72043	82
50	4	1.89785	2.76882	81
16	5	2.00376	2.86398	80
49	5	2.01667	2.86613	79
89	5	2.02312	2.86183	78
1	5	2.08978	2.91774	77
92	6	2.09409	2.91129	76
48	1	0.333333	1.32258	92
69	1	0.817204	1.7957	91
66	2	1	1.96774	90
36	3	1.65412	2.61111	89
24	4	1.81452	2.76075	88
13	4	1.87993	2.81541	87
22	4	1.95878	2.88351	86
57	1	0.16129	1.15054	92
27	1	0.16129	1.13978	91
