0	1	0	0.984127	62
29	1	0.174603	1.14286	61
62	1	0.253968	1.20635	60
26	1	0.333333	1.26984	59
51	1	0.412698	1.33333	58
45	1	0.47619	1.38095	57
4	1	0.492063	1.38095	56
41	1	0.52381	1.39683	55
39	1	0.68254	1.53968	54
19	1	0.698413	1.53968	53
37	2	0.769841	1.59524	52
15	2	0.81746	1.62698	51
31	2	0.865079	1.65873	50
25	2	0.944444	1.72222	49
54	2	1.01587	1.77778	48
56	2	1.10317	1.84921	47
18	3	1.12698	1.85714	46
35	3	1.19312	1.90741	45
50	3	1.2963	1.99471	44
36	3	1.31217	1.99471	43
9	4	1.37963	2.0463	42
46	4	1.39418	2.04497	41
24	5	1.55635	2.19127	40
14	5	1.62222	2.24127	39
34	6	1.68175	2.28492	38
53	7	1.79883	2.38613	37
16	7	1.79883	2.37026	36
43	8	1.87819	2.43375	35
21	9	1.92184	2.46153	34
48	9	1.93088	2.45469	33
42	9	1.95624	2.46417	32
8	9	1.95624	2.4483	31
40	10	1.99504	2.47123	30
5	10	1.99504	2.45535	29
12	11	2.01585	2.46029	28
32	11	2.05487	2.48344	27
6	12	2.06473	2.47743	26
2	12	2.06606	2.46288	25
7	12	2.08085	2.4618	24
55	15	2.14665	2.51173	23
47	18	2.21546	2.56466	22
22	19	2.23447	2.5678	21
30	19	2.23967	2.55713	20
17	20	2.26189	2.56348	19
3	21	2.26666	2.55237	18
59	22	2.27886	2.5487	17
38	24	2.30929	2.56326	16
52	25	2.31845	2.55655	15
57	26	2.32595	2.54817	14
27	28	2.33799	2.54434	13
20	32	2.36543	2.5559	12
10	33	2.36941	2.54401	11
49	38	2.392	2.55073	10
13	41	2.4017	2.54456	9
58	46	2.41484	2.54182	8
11	45	2.43154	2.54265	7
61	46	2.43254	2.52778	6
28	47	2.43549	2.51486	5
23	63	2.47313	2.53662	4
1	68	2.48009	2.52771	3
33	77	2.48846	2.5202	2
44	95	2.49781	2.51368	1
60	288	2.51864	2.51864	0
0	1	0	0.984127	62
2	1	0.015873	0.984127	61
62	1	0.047619	1	60
54	1	0.126984	1.06349	59
29	1	0.142857	1.06349	58
51	1	0.380952	1.28571	57
4	1	0.380952	1.26984	56
22	1	0.396825	1.26984	55
18	1	0.555556	1.4127	54
19	1	0.571429	1.4127	53
40	1	0.571429	1.39683	52
37	1	0.603175	1.4127	51
34	2	0.714286	1.50794	50
35	2	0.714286	1.49206	49
15	2	0.761905	1.52381	48
46	2	0.761905	1.50794	47
58	2	0.865079	1.59524	46
53	2	0.865079	1.57937	45
27	2	0.944444	1.64286	44
20	2	0.984127	1.66667	43
41	2	0.984127	1.65079	42
26	2	0.984127	1.63492	41
