,subject,color,gi,mi,status,bp,wp,response,rt
0,32,0,0,0,playing,000000000010000000001000000000000000,000000000000011000000000000000000000,0,7638
0,32,0,0,0,playing,000000000000000000100000000101000000,000000000101000000010000000000000000,28,4182
0,32,1,0,0,playing,000000000000010000000100000000000000,000000000000000000000010000000000000,30,15817
0,32,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,21,2140
0,32,1,0,0,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,30,2706
0,32,0,0,0,playing,000001000001110110010001000000111000,000100011010001000001110010001000100,9,30952
0,32,0,0,0,playing,000000001000000010000000000000000000,000000000000000100000000100000000000,33,17262
0,32,1,0,0,playing,000000000000111000000010000000001000,000001001000000010000000100000000000,11,3082
0,32,0,0,0,playing,100000000010000000001000000000000000,000000000000011000000000000000100000,21,5843
0,32,1,0,0,playing,000000000000000000000011000000000000,000000000000000000000000000000100000,21,3029
0,32,1,0,0,playing,000010000000100100000111000001000000,001000000001011000001000100000000000,7,16198
0,32,0,0,0,playing,000000000001100000000000000000000000,000000000000001000000010000000000000,13,11096
0,32,0,0,0,playing,000000000000001000000000000000000000,000000000000100000000000000000000000,4,1734
0,32,1,0,0,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,30,9456
0,32,0,0,0,playing,001000000000010000011100000001000000,000001000001100000100010000000001000,14,13070
0,32,1,0,0,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,14,1607
0,32,0,0,0,playing,010000000010100000000000000000000000,000000000001000000010100000000000000,3,2804
0,32,0,0,0,playing,000000000000000010000000000000000000,000000000000000100000000000000000000,8,2324
0,32,0,0,0,playing,000000000000000000000011000000000000,000000000000011000000000000000000000,21,4920
0,32,0,0,0,playing,001001000101110110010001000000111000,100110011010001000001110010001000100,24,9154
