,subject,color,gi,mi,status,bp,wp,response,rt
0,35,0,0,0,playing,000000000000100000000010000000000000,000000000000000000000000000000011000,33,3946
0,35,0,0,0,playing,000001000000011100000010000000101000,000010100000100010000101000000010000,3,9716
0,35,0,0,0,playing,000000100000001000000011000000000000,000011000000000000000000100000100000,13,16125
0,35,0,0,0,playing,010101000100011100100010000010101000,000010100011100010011101000001010000,0,5392
0,35,1,0,0,playing,000000000000000000000000000000010000,000000000000000000000000000000000000,13,108
0,35,0,0,0,playing,000100100000001000000100000000100000,000011000000100100000010000000000000,32,12705
0,35,1,0,0,playing,000000100000001000000001010000011000,000001000000010100000000100000000100,22,4327
0,35,0,0,0,playing,000000000000110000000000000000000000,000000000001000000000010000000000000,23,5186
0,35,0,0,0,playing,000000000000010000000000000000000000,000000000000000000000010000000000000,12,3168
0,35,0,0,0,playing,000100100000011000000100000010101101,000011000001100100001010010000010010,23,1852
0,35,0,0,0,playing,000000000000001000000011000000000000,000011000000000000000000100000000000,6,4972
0,35,0,0,0,playing,000000000000000000000010000000000000,000000000000000000000001000000000000,11,4212
0,35,1,0,0,playing,000110000001010000000100000000111000,000001000010101000000010000001000100,1,9036
0,35,1,0,0,playing,000110000001100000001100000001000000,001001000000010000000010000010100000,19,24933
