,subject,color,gi,mi,status,bp,wp,response,rt
3559,22.0,1,12,25,playing,010010010011100010000010000011001101,001101000100011100000101010000010010,19,6.529
3359,22.0,0,1,20,playing,000100000001110000000111000001001010,001011000010001000001000110000100100,0,7.531
3328,22.0,1,0,5,playing,000000000000010000000100000000001000,000000000000100000000010000000000000,14,6.708
3469,22.0,0,7,14,playing,000100100000101000000010000001010000,000001000001010100000101000000100000,2,8.326
3553,22.0,1,12,19,playing,010010000011100010000010000001001100,001101000100011100000101000000000000,31,7.308
3573,22.0,1,14,5,playing,000000000000100000011000000000000000,000010000000010000000000000000000000,22,8.364
3487,22.0,1,8,15,playing,001000100001110000001100000000000010,000010000010001000000010100001100000,23,3.335
3420,22.0,1,6,1,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,23,1.485
3465,22.0,0,7,10,playing,000000100000101000000010000000010000,000000000000010100000101000000100000,3,9.341
3494,22.0,0,9,2,playing,000000000000000000000010000000000000,000000000000100000000000000000000000,21,2.979
3397,22.0,0,3,14,playing,000010000001110000000110000000100000,001100000010001000001001000000010000,5,5.074
3541,22.0,1,12,7,playing,000000000001100000000010000001000000,000001000000010000000100000000000000,2,4.454
3514,22.0,1,10,1,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,22,3.313
3366,22.0,1,2,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,13,0.134
3575,22.0,1,14,7,playing,000000000000100000011000000000010000,000010000000010000000010000000000000,14,9.661
3448,22.0,1,6,29,playing,010001011001110001011010001000001110,001110000010001110000101110001010001,6,2.682
3341,22.0,0,1,2,playing,000000000000000000000010000000000000,000000000000000000000000010000000000,13,12.705
3485,22.0,1,8,13,playing,001000100001110000001100000000000000,000010000010001000000010000001100000,24,10.44
3475,22.0,1,8,3,playing,000000000000110000000000000000000000,000000000000000000000010000000000000,14,1.965
3571,22.0,1,14,3,playing,000000000000100000001000000000000000,000000000000010000000000000000000000,4,11.578
3512,22.0,0,9,20,win,001110100000011000000111000001000000,010001000001100100001000110000010100,30,1.747
3339,22.0,0,1,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,3.003
3351,22.0,0,1,12,playing,000000000000110000000011000000001010,001010000000001000000000110000000100,21,8.516
3473,22.0,1,8,1,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,22,0.123
3498,22.0,0,9,6,playing,000010000000000000000110000000000000,000000000001100000001000000000000000,13,1.292
3334,22.0,1,0,11,playing,000100000000010000000101000000101000,000000100000101000000010000000010000,33,5.083
