,subject,color,gi,mi,status,bp,wp,response,rt
0,4,1,0,0,playing,000000000011100000000010000000000000,001010000000010000000000000000000000,9,3654
0,4,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,1258
0,4,0,0,0,playing,000000000000100000000000000000000000,000000000000000000000010000000000000,13,4893
0,4,1,0,0,playing,000000000001010000000010000000000000,000000000000001000000001000000000000,5,21370
0,4,0,0,0,playing,000000000000100000000100000000000000,000100000000010000000000000000000000,23,2525
0,4,1,0,0,playing,000000000001100000000000000000000000,000010000000000000000000000000000000,13,5890
0,4,0,0,0,playing,000000100000110000000000000000000000,000000000000001000000011000000000000,24,19380
0,4,1,0,0,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,23,5927
0,4,0,0,0,playing,000000100000110000000000100000000000,000000000000001000000011000000000100,21,19606
