,subject,color,gi,mi,status,bp,wp,response,rt
4458,31,1,6,19,playing,000110010000011100000101100000001000,001001100001100010000010000000010010,33,1.744
4440,31,1,6,1,playing,000000000000000000000100000000000000,000000000000000000000000000000000000,22,1.718
4396,31,0,3,10,playing,000000010000001000000110000000001000,000000000000000100000001000001110000,28,1.877
4472,31,0,7,10,playing,000000000000110000000011000000010000,000010000000001000000100100000001000,34,0.77
4372,31,1,2,1,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,22,5.273
4511,31,0,9,6,playing,000000000000000000000011000000001000,000000000000101000000100000000000000,13,15.232
4364,31,0,1,6,playing,000100000000010000000001000000000000,000000000000001000000010000000000100,21,2.723
4594,31,0,13,14,playing,000000000000101000001010000011100000,001010100000010000000001000100010000,3,1.542
4412,31,1,4,9,playing,000000000000100000000010100001001000,000001000000010000000101000000000000,2,3.791
4576,31,1,12,19,playing,001010000001101000010010000001100100,000100100010010000001100100010001000,8,9.642
4468,31,0,7,6,playing,000000000000110000000010000000000000,000000000000001000000100000000001000,31,18.493
4542,31,1,10,19,playing,000011101001000100000010010000100100,000100000000111000000101100000010001,7,2.212
4532,31,1,10,9,playing,000011000000000100000010010000000000,000000000000011000000001000000000001,3,8.348
4505,31,0,9,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,1.521
4538,31,1,10,15,playing,000011000001000100000010010000100100,000100000000111000000101000000000001,31,26.941
4382,31,1,2,11,playing,000001000000110000001000100000100000,000000000000001000000111000000001000,31,1.881
4556,31,0,11,12,win,000111000000010000000001000000100000,001000000000100000001000000001010100,6,0.67
4355,31,1,0,9,playing,000000000001100000000101000000010000,011000000000010000000010000000000000,3,21.419
4540,31,1,10,17,playing,000011100001000100000010010000100100,000100000000111000000101000000010001,24,0.578
4360,31,0,1,2,playing,000000000000010000000000000000000000,000000000000000000000010000000000000,23,4.649
4534,31,1,10,11,playing,000011000000000100000010010000000100,000100000000011000000001000000000001,12,24.689
4388,31,0,3,2,playing,000000000000000000000010000000000000,000000000000000100000000000000000000,21,4.303
4588,31,0,13,8,playing,000000000000101000000010000000100000,001000100000010000000001000000000000,29,6.636
4485,31,1,8,3,playing,000000000000100000000010000000000000,000000000000000000000100000000000000,2,12.308
4501,31,1,8,19,playing,000010000011101000010010000001100100,001101000100010100000101000000001000,6,2.708
4590,31,0,13,10,playing,000000000000101000000010000001100000,001000100000010000000001000000010000,28,16.193
4456,31,1,6,17,playing,000010010000011100000101100000001000,001001100001100010000010000000000010,31,22.983
4609,31,1,14,7,playing,000000000001000000000010000001100000,000000000000010000001100000000000000,28,6.348
4582,31,0,13,2,playing,000000000000000000000010000000000000,000000000000000000000001000000000000,12,3.354
4454,31,1,6,15,playing,000010010000011100000100100000001000,001001100000100010000010000000000010,11,49.784
4376,31,1,2,5,playing,000000000000110000000000000000100000,000000000000001000000010000000000000,21,8.313
4420,31,1,4,17,playing,000010100000100000000010100011101000,001001000000011000000101000100010000,20,7.93
