,subject,color,gi,mi,status,bp,wp,response,rt
0,12,0,0,0,playing,100010100011011010001100010100011001,011101010100100101010011100000100100,26,3852
0,12,1,0,0,playing,000100000001000000001010000110000000,001000000000100000010100000001000000,4,7453
0,12,0,0,0,playing,000000000000000000000010000000000000,000000000000000000000000000100000000,19,2439
0,12,1,0,0,playing,000000000000000000000000000100000000,000000000000000000000000000000000000,18,13634
0,12,1,0,0,playing,000000000000000000000000000110000000,000000000000000000010000000000000000,29,1600
0,12,0,0,0,playing,100010000011011000001100000100000000,011100000000100000010011100000100000,25,2748
0,12,0,0,0,playing,010100000001001000010110000011100000,100011010010100000001001000100010000,6,2573
0,12,1,0,0,playing,000000000000100000000100000110000000,000000000001000000010010000000000000,30,1407
0,12,0,0,0,playing,010000000001000000010010000000000000,000010000000100000001000000100000000,28,2972
0,12,1,0,0,playing,000000000000000000000000101000000000,000000000000000000000000010000000000,14,1927
0,12,0,0,0,playing,000000000001010000001100000100000000,001100000000100000010001000000000000,4,2317
0,12,0,0,0,playing,100010000011011000001100010100000000,011101000000100000010011100000100000,32,2520
0,12,0,0,0,playing,000100000001000000001010000010000000,001000000000100000010100000100000000,1,1542
0,12,1,0,0,playing,001000000011100000001100000100110100,010100000100010000110001000011000000,32,3532
0,12,0,0,0,playing,100010000011011000001100010100001000,011101000000100100010011100000100000,31,4227
