,subject,color,gi,mi,status,bp,wp,response,rt
0,7,0,0,0,playing,000000000000010000001001000000010100,000100000001000100000100000000001000,4,13771
0,7,1,0,0,playing,000010111000001101000100100000000000,000001000000100010000001000000100111,32,5323
0,7,1,0,0,playing,000000000000010000000010000000001000,000000000000000000000001000000010000,15,11852
0,7,0,0,0,playing,000001000001010000000000000001101000,000000000000101000000110000010010000,20,15618
0,7,1,0,0,playing,000000001000000000000000000000000000,000000000000000000000000000000000000,16,11817
0,7,0,0,0,playing,000000000000000000000101000000000000,000000000001000000000010000000000000,13,14148
0,7,1,0,0,playing,001100000010010000001100000000000000,100000000001100000000010000001000000,4,19471
0,7,1,0,0,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,23,7081
0,7,1,0,0,playing,000100000001010001011010000000100000,001000000000101110000100000100000000,25,25659
