,subject,color,gi,mi,status,bp,wp,response,rt
0,1,0,0,0,playing,000000100000001000000100000000101000,000000000001000100000011000000010000,4,18143
0,1,1,0,0,playing,000000010000000100000001010000000000,000001000000000000000100100000000000,31,3758
0,1,1,0,0,playing,000000000001000000000100000000000000,000000000000000000000000100000000000,31,5715
0,1,0,0,0,playing,000000000000000000000011100000000000,000000000001100000000000010000000000,21,2027
0,1,0,0,0,playing,000001010000010010001010000000100110,000000000010001101000001110000011000,26,5282
0,1,1,0,0,playing,000000000000001000000110000000000000,000000000000000100000000000000010000,6,9635
0,1,1,0,0,playing,000000000001011100000100000001000000,000001000000100000000000100000010100,16,3170
0,1,0,0,0,playing,001000000000010000010101010000000000,000000000001100000001010000011000000,4,6665
0,1,1,0,0,playing,000000000001000000000000000000000000,000000000000000000000000000000000000,23,3547
0,1,1,0,0,playing,000000000001100000000001000001010000,000000000000010100000110000000000000,20,15552
0,1,0,0,0,playing,000000000000100000000101000001001000,000100000001000000001010000000100000,5,9565
0,1,1,0,0,playing,001000000001010000000100000001000000,000001000000100000000001000000010000,20,5093
0,1,0,0,0,playing,000000000000100100000010100000000000,000000000000011000000101000000000000,5,3558
0,1,1,0,0,playing,000000010000000110000001010000000100,000001000000000000000100100000010010,19,28919
0,1,1,0,0,playing,000000000001010000001100000000000000,000001000000000000010001000000000000,12,8371
0,1,1,0,0,playing,000000000001100000001100000011100000,001010000010010000010000000000001000,3,7433
