,subject,color,gi,mi,status,bp,wp,response,rt
0,16,0,0,0,playing,000011000000010000000000000001000000,000000000000000000000100000100010001,22,2433
0,16,1,0,0,playing,001110000000011000000000000000000100,010001000000000000000001100000001000,15,12205
0,16,0,0,0,playing,001001000000010000000000000001000000,000110000000000000000100000000000010,12,7564
0,16,0,0,0,playing,000000000000000000000000000000100000,000000001000000000000000000000000000,21,7384
0,16,1,0,0,playing,000000111000001000000000000000111000,000001000000000111000000100000000100,29,2242
0,16,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,21,3989
0,16,1,0,0,playing,000001011000001000000000000000000000,000010000000000000000000000000010010,6,1923
0,16,1,0,0,playing,000000001000000000000000000000001000,000000000000100000000000000000000000,4,7039
0,16,1,0,0,playing,000001011000001000000000100000000100,000010100000000000000000000000011010,22,1795
0,16,1,0,0,playing,000000111000001000000000000000011000,000000000000000111000000100000000100,5,1550
0,16,1,0,0,playing,000011000000000000000000000010010110,000100000000011000000001000000001000,12,5920
0,16,1,0,0,playing,000010000000000000001000100000000000,000000000000110000000000000000000000,14,3387
0,16,1,0,0,playing,000000000000110000000000000010000000,000000000000001000000010000000000000,5,9544
0,16,1,0,0,playing,000001011000011000000000100000000100,000010100000000000000010000000011010,2,3316
0,16,1,0,0,playing,000010000000000000000000000000000010,000100000000000000000000000000000000,14,4716
0,16,1,0,0,playing,000010000000001000000000000010000010,100100000000000000000000000100000000,24,3181
0,16,1,0,0,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,18,10106
0,16,0,0,0,playing,000000000000000000000100000000000000,000010000000000000000000000000000000,31,5619
0,16,1,0,0,playing,000001011000001000000000100000000000,000010100000000000000000000000010010,32,9466
0,16,1,0,0,playing,000000001000000000000000000000000000,000000000000000000000000000000000000,34,3414
0,16,0,0,0,playing,000000000000000100001000000010100000,000011100000000000000000000000000001,3,21445
0,16,0,0,0,playing,000011000000010000000010000001000000,010000000000000000000100000100010001,11,1332
0,16,1,0,0,playing,000000000001110000011000000010000000,000011000010001000000010000000000000,2,5742
0,16,0,0,0,playing,000000000001000000000100000000100001,000001001000000010000000000000001000,24,4873
0,16,0,0,0,playing,000000000000000000110000000100000000,000000000000000000000000000000011100,30,3276
0,16,0,0,0,playing,100000000100000000000000000000000000,000000000000000000000000000000110000,29,1705
