,subject,color,gi,mi,status,bp,wp,response,rt
847,2.0,0,34,14,playing,000100100000011100000100100000000000,000011000000100010000011000000000100,30,14.286
407,2.0,0,8,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,4.334
523,2.0,1,15,13,win,000011100000110000001000100000000000,000000010000001100000111000000000000,31,8.282
640,2.0,0,22,10,win,000101000000111000000000000000000000,001010001000000000000101000000000000,11,1.95
721,2.0,1,27,29,playing,100010101001011000110100010100011100,011101000110100100001011100000100010,7,27.437
896,2.0,1,37,13,playing,001011000010010000000100000000010000,000100000001100000000010000001100000,27,2.154
576,2.0,0,18,6,playing,000000000000100000000110000000000000,000001000000010000000000000000001000,23,8.768
540,2.0,0,16,16,playing,001101000000010000001101000000010000,000010000000101000000010000001101100,6,4.883
558,2.0,1,17,9,playing,000000000000011000010010000010000000,001010000000100000001000000000000000,10,2.337
594,2.0,1,19,15,playing,000101000010010000001010000000110000,010010000001101000000101000000000000,0,3.587
532,2.0,0,16,8,playing,000101000000010000000001000000000000,000010000000101000000000000000000100,21,4.172
742,2.0,0,28,14,playing,000101000000011000011100000000000000,001010000000100000100011000001000000,32,1.944
554,2.0,1,17,5,playing,000000000000011000010000000000000000,000010000000100000000000000000000000,2,4.684
820,2.0,0,32,16,playing,000011000000010100000000010001100010,000000101000001000000010000100010101,7,2.245
592,2.0,1,19,13,playing,000101000010010000001010000000010000,010010000001100000000101000000000000,14,23.576
469,2.0,0,12,2,playing,000000000000010000000000000000000000,000000000000001000000000000000000000,22,2.454
874,2.0,0,36,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,1.499
496,2.0,0,14,8,playing,000001000000110000000010000000000000,000010000001001000000000000000010000,29,6.151
377,2.0,1,5,9,playing,010000000001010000000100000001000000,000101000000100000001000000000000000,31,2.032
663,2.0,0,24,8,playing,000101000000010000000000000010000000,000010000000101000001000000000000000,29,6.944
548,2.0,0,16,24,win,001101110000010000001101000010010010,000010001000101000000010100101101101,15,1.531
