,subject,color,gi,mi,status,bp,wp,response,rt
1905,5.0,1,17,13,playing,000010000000011000000001110000001000,000100000000000100000010001000000110,12,8.318
1881,5.0,1,15,9,playing,000000000000110000000110000000010000,000000000000001100000001010000000000,4,4.912
1952,5.0,0,20,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,11,2.909
1977,5.0,1,21,7,playing,000000011000000100000000000000010000,000000100000000011000000000000000000,23,1.945
1917,5.0,1,19,1,playing,000010000000000000000000000000000000,000000000000000000000000000000000000,3,5.732
1913,5.0,0,18,6,playing,000000000001100000000100000000000000,000001100100000000000000000000000000,10,8.417
1960,5.0,0,20,8,playing,001000000001100000000001000000000000,000110000000010000000000000000001000,20,9.216
1923,5.0,1,19,7,playing,000010000000110000000100000000000000,000100000001000000000010000000000000,29,3.599
1901,5.0,1,17,9,playing,000010000000011000000001100000000000,000100000000000100000010000000000100,34,6.886
1853,5.0,1,13,11,playing,000100000000001000000011000000001100,000010000000010100010000100000000000,5,1.544
1712,5.0,1,1,7,playing,000000000000001000000010010000000001,000000000100000000000000100000100000,18,4.663
1768,5.0,0,6,2,playing,100000000000000000000000000000000000,000000000000100000000000000000000000,10,1.609
1861,5.0,1,13,19,playing,000100000000101000000111000000011101,001011000000010100010000100000100010,6,8.732
1747,5.0,0,4,4,playing,100000000010000000000000000000000000,000010000000001000000000000000000000,20,3.57
1819,5.0,1,11,3,playing,000011000000000000000000000000000000,000000000010000000000000000000000000,3,1.286
1968,5.0,0,20,16,playing,001001000011100000001001100000000000,000110000100010000000100000001011000,22,3.942
1794,5.0,0,8,4,playing,100000000010000000000000000000000000,000000000000000000000000000000001100,20,1.103
1743,5.0,0,4,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,0,6.459
1836,5.0,0,12,10,playing,000000100000110000000100000001000000,000001000000001000000010000000110000,32,9.314
1814,5.0,0,10,10,playing,000000000000000100000100000011000100,000000000000010000000011000000011000,24,10.654
1808,5.0,0,10,4,playing,000000000000000000000000000011000000,000000000000000000000001000000010000,15,4.272
1790,5.0,0,8,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,0,2.842
1691,5.0,0,0,2,playing,010000000000000000000000000000000000,000000000010000000000000000000000000,2,19.911
1759,5.0,1,5,1,playing,000010000000000000000000000000000000,000000000000000000000000000000000000,0,4.398
1883,5.0,1,15,11,playing,000000000001110000000110000000010000,000010000000001100000001010000000000,10,5.736
1781,5.0,1,7,1,playing,000000000000000000000000000000001000,000000000000000000000000000000000000,0,3.84
1895,5.0,1,17,3,playing,000000000000011000000000000000000000,000000000000000000000010000000000000,15,1.553
1975,5.0,1,21,5,playing,000000011000000100000000000000000000,000000000000000011000000000000000000,6,4.273
1879,5.0,1,15,7,playing,000000000000110000000110000000000000,000000000000001100000000010000000000,23,24.123
1745,5.0,0,4,2,playing,100000000000000000000000000000000000,000010000000000000000000000000000000,10,8.76
1804,5.0,0,10,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,28,3.253
1832,5.0,0,12,6,playing,000000000000110000000100000000000000,000000000000001000000010000000100000,6,4.918
1774,5.0,0,6,8,playing,101000000010000000000000000010000000,000000000000100000001011000000000000,21,4.045
1716,5.0,1,1,11,playing,100000000000011000000010010000000001,000000000100000000100000100100100000,15,8.056
1751,5.0,0,4,8,playing,100000000010000000011000000000000000,000010000000001000000010000000100000,6,14.182
1897,5.0,1,17,5,playing,000000000000011000000001000000000000,000000000000000100000010000000000000,3,7.367
1806,5.0,0,10,2,playing,000000000000000000000000000010000000,000000000000000000000001000000000000,29,4.728
1863,5.0,0,14,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,21,2.691
1772,5.0,0,6,6,playing,100000000010000000000000000010000000,000000000000100000001010000000000000,2,7.979
1812,5.0,0,10,8,playing,000000000000000100000100000011000000,000000000000000000000011000000011000,33,13.857
1787,5.0,1,7,7,playing,000000000000000000000001000000011100,100000000000000000000000000000100010,20,1.351
1755,5.0,0,4,12,playing,100000100010000000011000000000010000,000010000000011000000110000000100000,1,11.264
