,subject,color,gi,mi,status,bp,wp,response,rt
0,33,0,0,0,playing,000000000000000000000010000000000000,000000000000000000000000000000100000,13,1777
0,33,1,0,0,playing,000000000000000000000000000100000000,000000000000000000000000000000000000,19,6202
0,33,0,0,0,playing,000010000000000100000111000000000000,000000000001011000001000100000000000,12,4055
0,33,0,0,0,playing,000000000000010000000000000000000000,000000000000100000000000000000000000,22,1312
0,33,1,0,0,playing,000000000001000000000000000000000000,000000000000000000000000000000000000,13,1794
0,33,0,0,0,playing,010000000000001000000011000000100000,000000000001000000000100000000011010,6,903
0,33,1,0,0,playing,000000000001110000000000000000100000,000000000010001000000010000000000000,21,2103
0,33,0,0,0,playing,000000000000010000000100000000000000,000000000000000000000000000101000000,22,1850
0,33,1,0,0,playing,001100000100011000011100000001000000,000011000011100000100010000000001000,33,5664
0,33,0,0,0,playing,000000000000010000000010000000000000,000010000000100000000000000000000000,23,1921
0,33,1,0,0,playing,100000000000000000000000000000000000,000000000000000000000000000000000000,22,22
0,33,0,0,0,playing,000000000000100000000011000000010000,000000000000010000000100000000101000,5,2680
0,33,1,0,0,playing,100100100001100100000110000011000100,010000000010011000011001000000111000,24,1056
0,33,1,0,0,playing,010000000010100000000000000000000000,000000000001000000000100000000000000,19,794
0,33,1,0,0,playing,000000000000000010000000000000000000,000000000000000000000000000000000000,15,2183
0,33,1,0,0,playing,000000000001000000000100000000010000,000000000000001000000001000000000000,1,1666
0,33,0,0,0,playing,000000000000011000000010000000000000,000000001000000010000000100000000000,32,523
0,33,1,0,0,playing,000000000010000000000000000000000000,000000000000000000000000000000000000,13,1245
0,33,1,0,0,playing,000000000010000000101000000111000000,000000000101100000010000000000100000,21,7013
0,33,1,0,0,playing,000010000000001000000000100000000000,000000000000110000000000000000000000,22,26
0,33,1,0,0,playing,000010000000000000000000000000000000,000000000000000000000000000000000000,13,39
